,year,title,director_names,nations,genres,rate,영화제
206,1970,핀치 콘티니의 정원,비토리오 데 시카,"독일, 이탈리아, 독일(구 서독)","드라마, 전쟁, 로맨스",3.3 (449명),베를린
207,1969,미드나잇 카우보이,존 슐레진저,미국,드라마,"3.8 (3,908명)",아카데미
208,1969,얼리 웍스,젤리미르 질닉,유고슬라비아,"드라마, 코미디",3.4 (16명),베를린
209,1968,만약,린지 앤더슨,영국,드라마,3.4 (605명),칸
210,1968,올리버,캐럴 리드,영국,"가족, 드라마","3.7 (3,249명)",아카데미
211,1968,누가 그의 죽음을 보았는가,얀 트로엘,스웨덴,,3.4 (19명),베를린
212,1968,서커스 돔 위의 예술가,알렉산더 클루게,,,3.1 (83명),베니스
213,1967,밤의 열기 속으로,노만 주이슨,미국,"드라마, 범죄","3.4 (1,740명)",아카데미
214,1967,출발,예르지 스콜리모브스키,벨기에,"드라마, 로맨스, 코미디",3.5 (44명),베를린
215,1967,세브린느,루이스 부뉴엘,"프랑스, 이탈리아",드라마,"3.5 (2,800명)",베니스
216,1966,욕망,미켈란젤로 안토니오니,"이탈리아, 영국","드라마, 스릴러","3.9 (4,004명)",칸
217,1966,남과 여,끌로드 를르슈,프랑스,드라마,"3.7 (2,333명)",칸
218,1966,사계의 사나이,프레드 진네만,영국,드라마,"2.8 (1,084명)",아카데미
219,1966,막다른 골목,로만 폴란스키,영국,"코미디, 드라마, 스릴러",3.6 (253명),베를린
220,1966,알제리 전투,질로 폰테코르보,"알제리, 이탈리아","드라마, 전쟁","3.6 (2,466명)",베니스
221,1965,시그노르 & 시그노리,피에트로 제르미,"이탈리아, 프랑스",,3.1 (83명),칸
222,1965,낵 앤 하우 투 겟 잇,리처드 레스터,영국,코미디,3.1 (93명),칸
223,1965,사운드 오브 뮤직,로버트 와이즈,미국,"드라마, 가족, 로맨스",4.1 (46만명),아카데미
224,1965,알파빌,장 뤽 고다르,"이탈리아, 프랑스","로맨스, 드라마, 스릴러","3.6 (1,187명)",베를린
225,1965,희미한 곰별자리,루키노 비스콘티,"이탈리아, 프랑스","드라마, 미스터리, 전쟁, 스릴러",3.6 (283명),베니스
226,1964,쉘부르의 우산,자끄 드미,"프랑스, 독일(구 서독)","드라마, 로맨스",3.7 (1만명),칸
227,1964,마이 페어 레이디,조지 쿠커,미국,"가족, 로맨스, 드라마",3.7 (2만명),아카데미
228,1964,메마른 여름,메틴 에륵산,터키,,3.4 (19명),베를린
229,1964,붉은 사막,미켈란젤로 안토니오니,"이탈리아, 프랑스",드라마,3.7 (815명),베니스
230,1963,레오파드,루키노 비스콘티,이탈리아,드라마,"3.0 (2,368명)",칸
231,1963,톰 존스의 화려한 모험,토니 리처드슨,영국,로맨틱코미디,3.1 (302명),아카데미
232,1963,디아볼로,지안 루이지 폴리도로,이탈리아,스릴러,3.5 (26명),베를린
233,1963,부시도,이마이 타다시,일본,"액션, 드라마",3.6 (38명),베를린
234,1963,도시 위에 군림하는 손,프란체스코 로시,"이탈리아, 프랑스",드라마,3.3 (88명),베니스
235,1962,산타 바바라의 맹세,안셀무 두아르테,브라질,,3.1 (105명),칸
236,1962,아라비아의 로렌스,데이비드 린,영국,"전쟁, 드라마, 모험",3.8 (2만명),아카데미
237,1962,사랑의 유형,존 슐레진저,영국,"로맨스, 드라마",3.3 (26명),베를린
238,1962,이반의 어린 시절,안드레이 타르코프스키,소련,"드라마, 전쟁","3.9 (2,592명)",베니스
239,1962,크로나카 파밀리아레,발레리오 추를리니,이탈리아,드라마,2.6 (4명),베니스
240,1961,이토록 긴 부재,헨리 콜피,"프랑스, 이탈리아",드라마,3.8 (10명),칸
241,1961,두 여인,비토리오 데 시카,"이탈리아, 프랑스","전쟁, 드라마",3.4 (330명),칸
242,1961,비리디아나,루이스 부뉴엘,"스페인, 멕시코",드라마,3.9 (792명),칸
243,1961,웨스트 사이드 스토리,"제롬 로빈스, 로버트 와이즈",미국,"음악, 범죄, 드라마, 로맨스",3.6 (1만명),아카데미
244,1961,밤,미켈란젤로 안토니오니,"이탈리아, 프랑스",드라마,3.9 (394명),베를린
245,1961,지난 해 마리앙바드에서,알랭 레네,"프랑스, 이탈리아","공포, 드라마, 스릴러, 미스터리","3.8 (1,694명)",베니스
246,1960,달콤한 인생,페데리코 펠리니,"이탈리아, 프랑스",드라마,"3.8 (2,008명)",칸
247,1960,아파트 열쇠를 빌려드립니다,빌리 와일더,미국,"로맨틱코미디, 드라마, 코미디","3.9 (4,963명)",아카데미
248,1960,라인강을 넘어,안드레 카야트,프랑스,드라마,3.1 (71명),베니스
249,1959,흑인 오르페,마르셀 까뮈,"브라질, 프랑스, 이탈리아","드라마, 판타지, 음악, 로맨스","3.5 (1,322명)",칸
250,1959,벤허,윌리엄 와일러,미국,"모험, 역사, 로맨스, 드라마, 액션",4.0 (9만명),아카데미
251,1959,엘 라사리요 데 토르메스,세자르 페르난데즈 아르다빈,"스페인, 이탈리아","드라마, 코미디",3.2 (16명),베를린
252,1959,사촌들,끌로드 샤브롤,프랑스,드라마,3.6 (212명),베를린
253,1959,제너럴 델라 로베레,로베르토 로셀리니,"이탈리아, 프랑스",,3.2 (94명),베니스
